Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
KSR2	9.577	7.8583825339358e-05
GSTP1	10.933	7.88504950228246e-05
FAM171A1	6.616	7.88504950228246e-05
NEFL	9.508	7.89289285771815e-05
FLT1	7.646	7.920353462314e-05
CRISPLD1	9.927	8.09850658458877e-05
ZNF334	10.28	8.09850658458877e-05
TSHZ1	-6.601	8.26505480401825e-05
GSPT2	9.888	8.31596366282685e-05
KCNS3	9.509	8.35062458344344e-05
MMP17	6.656	8.40731632098907e-05
PCDHA12	7.658	8.43734390164775e-05
CLIP4	-10.06	8.43734390164775e-05
LRIG1	8.975	8.43734390164775e-05
LRIG1	8.975	8.43734390164775e-05
ADRA2C	9.92	8.43734390164775e-05
GLI3	5.598	8.43769924944442e-05
RND2	6.87	8.43769924944442e-05
ATRNL1	10.54	8.49448933415029e-05
F2RL1	7.695	8.50316152545653e-05
RBPMS2	6.273	8.50316152545653e-05
HSPA1B	10.175	8.50316152545653e-05
GPRIN2	7.623	8.67664863374322e-05
TRIM71	9.881	8.67664863374322e-05
NOL12	9.559	8.70453818536035e-05
FAM83A	-6.213	8.72987416988732e-05
KCND2	9.958	8.74480375932281e-05
FAM189A1	9.524	8.74480375932281e-05
GALNT12	9.476	8.81772871735853e-05
UNC5A	9.498	9.0006190473141e-05
LINC00664	6.941	9.01271604804176e-05
NDN	9.951	9.01622163361747e-05
QPRT	6.066	9.10682721834722e-05
LONRF3	-9.875	9.11179209785571e-05
TRNP1	9.941	9.13350244929138e-05
SLC16A2	9.921	9.28704032331481e-05
CHST9	6.753	9.28704032331481e-05
AKT3	7.144	9.32821226189955e-05
TMEM125	9.519	9.32821226189955e-05
CNTN1	9.688	9.32821226189955e-05
NMRK2	10.192	9.44315316875836e-05
BCAS4	5.381	9.66869583494585e-05
FAM19A5	9.782	9.66869583494585e-05
ZNF22	9.842	9.69021176129595e-05
L1TD1	9.218	9.82114003762532e-05
KIF5C	9.599	9.85769613240785e-05
APBB1	10.081	0.000100229758513652
ZBTB10	9.602	0.000100339181171645
PPM1J	7.547	0.000101556472561977
CHCHD2	-5.526	0.000101804956642903
RASGRF2	6.219	0.000101804956642903
WISP2	-6.217	0.000104209672609734
MAP1B	8.702	0.00010427107231396
ANXA1	-7.327	0.000105078077399059
LEFTY1	9.414	0.000105078077399059
SFRP2	10.299	0.00010661440933918
PPP1R16B	9.606	0.000106960469343626
APH1B	9.866	0.000107189503992032
GDPD2	9.544	0.000107343867880142
SEMA5A	6.986	0.000107490092299588
B3GALT5	7.191	0.000107521415320822
PRKCG	7.495	0.000108316165692937
LINC01224	5.715	0.000108654149644055
KDF1	9.414	0.000109546503456536
NLGN1	9.926	0.000111188509768913
PDE8B	-5.458	0.000112233999447835
CALN1	6.464	0.000113438010071079
MOCS1	9.822	0.000113438010071079
NGFR	9.522	0.000114235859913879
OCLN	5.606	0.000117340923243962
KIF3C	5.351	0.000119514938644114
GALNT14	9.39	0.000119514938644114
GPM6B	5.795	0.000120380416829049
PDE6B	7.641	0.000123891280694237
IGF2BP2	5.039	0.000123949364680462
SPINK4	-10.335	0.000124314796826945
LBH	5.493	0.000124314796826945
EIF4E3	6.881	0.000124490653308845
KIF17	9.425	0.000125958624232945
KBTBD8	9.841	0.000126191651249159
PLA2G4A	-5.378	0.000126191651249159
CRIP1	-6.323	0.000126310571264592
IGFBPL1	9.777	0.000126543966223967
GRIN2A	9.446	0.000128778517738459
TMEM30B	9.794	0.000129182411130915
ACTR3C	-6.363	0.000129272243754505
PPM1E	9.811	0.000130183448026571
GRIP1	9.532	0.000130467286636512
SMARCA1	5.424	0.000131033780942039
GPC4	10.142	0.000132327625703533
KCTD17	9.778	0.000133585241228082
ZNF486	6.762	0.000133585241228082
RHBDL3	9.813	0.000134082559157062
SRRM3	9.427	0.000136252276053905
CTNND2	9.365	0.000137101793136079
NFASC	6.404	0.000137335029104333
CCDC68	-7.854	0.000139099152505877
CHST11	5.666	0.00014017930164906
NKD1	9.76	0.00014165749665202
ZNF43	6.067	0.00014165749665202
RUNX1T1	7.642	0.000141938284460918
INA	9.335	0.000142253845189404
MAGED4	11.228	0.000143258943812633
NUDT11	9.812	0.000145725343966538
POU5F1	8.712	0.000147544077684607
DISP3	6.645	0.000149515440169664
SOX2	9.622	0.000154153191653616
NKAIN1	5.733	0.000154324664356037
HOXC13	-7.509	0.000155396047634609
WFDC2	9.893	0.000155563663442498
SPSB4	9.314	0.000155563663442498
CDH4	9.329	0.000157594411555873
RET	9.7	0.000157594411555873
PKIB	9.758	0.000159909850113008
JPH3	5.65	0.000162461779633071
NUDT10	9.277	0.000162963530140037
CYP26B1	-6.605	0.000163128134760313
SHANK3	7.373	0.000163128134760313
MAGED1	7.644	0.000163138822218972
GABRB3	8.111	0.000167842571150092
SALL3	9.684	0.000167842571150092
IL18	-6.644	0.000167842571150092
CHST6	5.6	0.000167842571150092
TMEM200C	9.407	0.000170750848873847
NBPF8	-4.97	0.000172064551797082
MED12L	5.747	0.000172193458051875
FHOD3	9.685	0.000176403959798888
BACH2	9.501	0.000176660562650677
PCDHB15	9.617	0.000177689508113458
KAZALD1	-6.195	0.000177928259215779
CHST2	7.682	0.000179295607743098
PLCB4	9.25	0.000179295607743098
CDHR1	9.674	0.00018002706242512
UGT3A2	9.664	0.000181901286431976
DPYSL5	6.52	0.000185681531677523
LOC102724788	10.385	0.000187583980423537
MAMLD1	-6.767	0.000191753600901149
SH2D5	7.469	0.000191853807467124
CRB2	5.325	0.000193100163373568
CASKIN1	7.32	0.000193100163373568
OR7E12P	9.634	0.000195059144483527
SAMD9	-9.739	0.000196897235663955
ISYNA1	6.395	0.000197020212224219
MUC16	-7.818	0.000198022710193907
SLC7A8	7.369	0.000198188881905422
SLC38A4	7.465	0.00020024483956927
NHSL2	5.938	0.000200751123115137
FKBP1B	6.836	0.000201681542959477
PRICKLE1	7.03	0.000201706757784041
PIPOX	5.22	0.000201706757784041
ZNF649	5.228	0.000201706757784041
PLEKHO1	7.64	0.000202330568757716
CARD6	-5.142	0.000202747792149023
KLRG2	9.636	0.000202747792149023
IER3	9.555	0.000202747792149023
ZC4H2	9.367	0.000204409016223341
ADAM12	-6.482	0.000205033085829635
ALX1	-6.186	0.000205033085829635
KAZN	6.607	0.000206212668822267
CSMD2	6.851	0.000207163778880543
SLC43A3	9.62	0.00021177651103635
KCNN4	-5.176	0.000211988467150522
CXCL5	9.343	0.000212945123799941
HAS3	4.941	0.000213446691066483
PELI1	4.875	0.000213446691066483
GALNT18	9.217	0.000213446691066483
PCDHA10	5.462	0.000216096018758014
SLC29A4	5.489	0.00021936402553487
TMEM108	6.218	0.00021936402553487
SLCO5A1	7.954	0.000221132134896698
HPN	9.595	0.000224823725565041
ARC	9.19	0.000229282485000546
POU3F1	9.39	0.000229282485000546
HMGA2	5.307	0.000230330384222607
PLA2G3	7.506	0.000230564387750932
LIMD2	5.584	0.000236860426667386
LGALS3	-5.211	0.000239813874916883
NLRP2	7.54	0.000247799227602618
ALDH3B1	-4.769	0.000248660579988463
PACSIN1	9.218	0.000250506926952526
VTN	-7.289	0.000253184200011098
BCL11B	9.278	0.000255679198831237
LARGE1	8.122	0.000255679198831237
COL6A1	7.914	0.000255679198831237
PLTP	5.365	0.000255679198831237
RCOR2	4.993	0.000260177584599993
ZFR2	6.6	0.00026291845626223
ANO5	9.534	0.000263212689138215
H2AFY2	9.201	0.000263212689138215
TNIK	5.159	0.000263212689138215
CSRNP3	9.679	0.000265747764898499
NXN	4.777	0.000266467005419145
PEG10	6.576	0.000266940850945148
MCC	5.015	0.000267566122597067
CNGB1	-7.274	0.00026864363608121
NKX1-2	9.394	0.000272547545527985
SLC4A3	9.137	0.000273663617683883
WIPF3	7.258	0.000273663617683883
EGR1	4.573	0.000275627784933246
MEGF9	-4.946	0.000276716576689385
RFLNA	9.126	0.000280426114644836
ARHGAP44	5.668	0.000280629339227527
LINC00458	5.124	0.000280780082934358
B3GALT1	6.43	0.000281441448613616
ANO9	6.734	0.000281481985939552
RIMKLA	5.509	0.000284369826782735
EFNB3	9.379	0.000284821028310118
LIN28A	8.731	0.000284821028310118
DIO2	-5.332	0.000284821028310118
PPP2R2B	5.857	0.000290735454846603
ZMAT4	9.273	0.000293834321682682
HOXC11	-9.531	0.000297024142839338
SNTG2	9.365	0.000297517935901179
CNMD	7.724	0.000301791215232827
GALNT6	6.767	0.000303253256988383
PTPRN2	9.211	0.000303253256988383
ATP10A	9.301	0.000303253256988383
IGSF21	9.617	0.000303253256988383
PYCARD	9.429	0.000307964443726569
TMEM173	-5.579	0.000310001707189969
CD74	6.376	0.000310549541604539
NSUN7	6.621	0.000319453925198794
ABCC2	-7.074	0.000325527467477813
ZBTB12	-9.554	0.0003259890321793
TNFRSF8	7.489	0.000326274979197218
SOGA3	9.115	0.000326274979197218
MYCL	6.145	0.000327628097070421
ADRA2B	7.2	0.00032960523574126
FAM117A	6.18	0.00032960523574126
FAM46A	-4.526	0.000331106801445741
BTBD11	9.2	0.000331106801445741
ENC1	9.295	0.000334690831605307
MALL	9.527	0.000339144036738049
CNTNAP2	9.097	0.000339144036738049
MDK	6.532	0.000339403501888924
EPCAM	4.935	0.00034096995025044
ASPHD2	7.151	0.000342131865574765
HLA-DOA	9.088	0.000343764443972026
HLA-DOA	9.088	0.000343764443972026
SLC15A3	5.792	0.000347721716627985
SYNGAP1	4.733	0.000350985526379733
GULP1	8.712	0.000350985526379733
MYO1G	-5.702	0.000356186461311041
TCN2	5.494	0.000357197144735075
LHFPL4	9.512	0.000358355927533021
LOC100420587	5.308	0.000359084570735022
LINC01296	-4.806	0.000359223432089835
PTK7	6.777	0.000359223432089835
NTRK3	7.29	0.000359223432089835
KCNH2	9.503	0.000360242822130813
PZP	-6.71	0.000366718359407441
ZNF69	7.553	0.000380274053901029
DRAXIN	5.237	0.000380280883721219
SLC2A10	6.69	0.000384188386431562
B4GALNT4	6.908	0.000385100874038376
MAGEE1	9.085	0.000389920394378214
CRIP3	9.085	0.000389920394378214
CHST8	9.021	0.0003914104105127
VSNL1	5.405	0.000392383852553232
