Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LRP2	-8.693	4.58387259490072e-268
DUSP4	-4.086	2.90753624058526e-266
ZBTB34	-3.898	2.41937801841533e-265
MYEOV	-6.388	1.39796267485642e-263
CPQ	-5.677	9.66555295815739e-262
THRSP	-8.199	2.36397832476505e-260
ACKR3	-5.535	3.10506936926185e-257
ADAMTS4	-6.165	6.07569126422599e-257
SHANK2	-3.713	4.77183598238125e-256
CHDH	-3.642	4.6423386535297e-255
BASP1	5.055	9.75891377634841e-255
THSD4	-4.38	4.46183603245327e-254
DOCK10	-6.426	2.03267447452133e-251
PNPLA4	-7.26	1.5507911309858e-250
CAPG	-4.009	1.60899383390856e-250
TMEM64	-3.59	2.76714536041439e-250
PSMC5	3.742	3.19467229960483e-249
HOXC10	-7.144	5.28687542156157e-249
SERINC2	-4.574	1.89560581899539e-248
EFR3B	-4.267	9.78865793641691e-245
LGALS1	-3.848	4.90346741305998e-244
BRF2	-3.852	1.33555501488712e-243
TFF1	3.612	2.91595789494529e-243
MAP7D3	10.097	9.66510702011799e-243
INTS4	-3.363	1.24012840891038e-242
DNALI1	-7.791	1.37094512087242e-241
IER3	-3.549	4.79582464675204e-241
IER3	-3.549	4.83356169496824e-241
IER3	-3.549	1.67164157622337e-240
IER3	-3.549	1.72477335048539e-240
AZGP1	-5.045	1.24309463102263e-239
ST8SIA6-AS1	-6.699	1.75873075021484e-239
DHX38	3.549	7.12625461927187e-239
IL20RA	-6.925	9.60846195463409e-237
DUSP5	-4.469	1.1388812563784e-235
VARS2	-13.937	3.080120588102e-235
TRPS1	-3.238	5.71895822324407e-235
DIAPH2	5.426	6.72538504328171e-234
ITGB6	-6.056	9.21800847885531e-234
PSMD6	3.142	3.94240269874665e-233
CARS	4.713	3.49373231441632e-232
FTO	-3.295	1.13781991901253e-231
ZDHHC2	-5.246	1.84704990484783e-231
CYP4F22	-5.104	4.32745012720318e-230
KCNE4	-5.885	4.67048251003991e-229
RHOD	-3.628	7.62501370296231e-229
ALCAM	3.665	1.05790903384946e-228
H2AFY2	8.629	1.52571211068223e-226
ADAM9	-3.189	2.44294685983073e-226
SELENOP	-5.026	3.13645812189889e-226
MT2A	3.945	8.26561225114764e-224
CGREF1	6.857	1.28041079367866e-222
CBR1	10.665	1.83984406995859e-222
MDK	-3.751	2.32447818785926e-222
SDC1	-3.137	8.9081040532713e-222
KCNS3	-3.866	9.48936724923505e-222
SMOC2	-4.426	4.12790759968075e-220
KIAA0040	-3.614	1.35297951140558e-218
MRPL45	-9.12	9.45157697907625e-218
SPRY4	-7.448	1.09526669412243e-217
AGR2	-3.16	3.16763360685149e-217
SORBS2	-5.626	7.49884890682855e-217
EIF4EBP1	-3.868	4.07835838502795e-216
DR1	-3.339	4.93742858548702e-216
SOWAHC	-3.772	1.32354272163039e-215
LPCAT2	-4.631	7.84270156492727e-215
RAD51C	3.243	3.12821245866413e-214
GDPD5	-5.054	3.52959369831306e-214
ABCC5	5.379	3.70890188881656e-214
PTGES	-5.675	1.51192146429256e-213
TNS3	-3.824	4.80654135025133e-213
PLPBP	-4.279	7.63973321288015e-213
LYSMD2	11.464	1.24764829864964e-210
FGFR1	-3.987	1.8681363453443e-210
IFITM3	3.61	1.54027721472458e-208
ALDH3B2	3.996	1.79862769356168e-208
CA12	-3.406	4.39615591792051e-208
SPAG16	-6.784	2.22907705908016e-207
FOLR1	-11.474	8.86659381119687e-207
SPINK13	-11.443	1.55009170539317e-205
DNTTIP2	-3.343	5.09395197227501e-204
NSD1	3.186	1.94938971722552e-203
FBLN1	-4.275	5.11429058053499e-201
IL17RB	-3.602	5.32343392131777e-201
LPGAT1	-3.014	9.03561229813697e-201
DSCAM	10.531	2.24831013070079e-200
RPGRIP1L	-3.379	2.29098914608707e-200
RASGRP1	-5.174	2.36696829075496e-200
PIP4K2A	3.289	5.10715402909184e-200
DACH1	-11.394	1.60628815408274e-199
MAPK1	3.123	1.04699336137399e-197
LINC00052	-4.485	1.30571662026866e-197
ZNF747	-5.432	8.10399256396925e-197
ADI1	4.235	1.25528814769979e-196
RALGPS1	-3.378	1.3848646286024e-196
MCC	-3.412	2.31801792093665e-196
PYGL	-3.303	4.37917483477782e-196
NETO2	7.051	5.5791031887817e-196
HSPA1B	4.311	1.1214525333715e-195
HPN	-10.533	4.30359245446974e-195
SCARA3	-6.247	8.02564507445734e-195
ACTN4	4.126	1.6981075732136e-194
LMCD1	-4.608	1.8402513912687e-194
APPBP2	3.601	2.06237376226105e-194
ACTN4	4.126	2.3857725023118e-194
BCL11B	9.052	2.77986161607217e-194
ETV4	-7.192	5.2163618634066e-194
BACE2	9.04	1.57081306052019e-192
TUBD1	4.001	1.57462692562849e-192
SLC26A2	3.851	1.11621798534195e-191
SYCP2	-3.98	3.00955143060738e-191
GAB2	-3.409	7.63348585233731e-191
AGT	-11.265	1.26290508120437e-190
LSM1	-2.978	2.0523277566389e-190
NOB1	3.04	1.03953525631173e-189
TCIRG1	-3.88	1.89170991791078e-189
MPP6	9.201	1.12770110879546e-188
STON2	4.551	1.69902338855047e-188
CCND1	-3.32	4.25494601456909e-188
CD44	-3.053	2.44660483228366e-187
SMARCD2	2.793	1.31947531737492e-186
ANXA9	-3.779	2.79193620192676e-186
NPR3	6.563	3.65374856807901e-186
MIR3687-2	-7.868	3.76436553216319e-186
MIR3687-1	-7.868	5.41922768083931e-186
LOC107987373	-9.574	2.70631439187835e-185
KYNU	3.243	3.70643216979801e-183
PM20D2	6.178	7.37069038317102e-183
FLNB	-2.721	3.16176390670456e-181
PVR	9.809	4.18604627877285e-181
NDUFC2	-2.805	2.47580613596206e-180
IFI27	2.808	8.57622163684851e-180
CYBA	9.68	1.02487465697291e-179
PBX1	-2.906	1.48893328271298e-179
BRINP2	-4.134	2.44324499971013e-179
IGFBP2	-3.97	4.6591009542889e-179
ITPR3	-2.774	1.18258466689365e-178
HIST1H4F	11.369	1.65485989075172e-178
XRRA1	-3.581	3.49238718212518e-178
PPME1	-2.832	7.34697595656072e-178
GPR26	-10.323	9.34860697545085e-178
EHF	3.98	3.12168522607151e-177
CMTR2	3.419	3.46947270812759e-177
ADGRB2	-4.283	4.46081924888284e-177
VMP1	2.828	5.72137310465019e-177
ALDH4A1	-3.285	4.04949451699009e-176
PRSS23	3.305	7.18015160366882e-176
CCDC18	-3.407	1.35175169651244e-175
DUXAP8	4.282	2.37758953962638e-175
SPTSSB	4.396	1.17678266462308e-174
HLA-A	13.873	7.36337543953954e-174
TERC	-4.152	8.25078334208176e-174
HLA-A	-9.849	8.92517531354787e-174
OXCT1	4.649	1.56160143033771e-173
CCDC47	2.778	2.46374697438749e-173
KIF26B	-9.17	6.24865609263378e-173
RPL9	-2.714	6.18409343529975e-172
SCGB2A1	-7.771	3.35879124381395e-171
FMN1	-3.093	4.77831468656023e-171
SGPP1	3.796	6.16497986307179e-171
SQOR	-3.341	6.22395938559118e-171
BAG6	-3.168	6.39011918941585e-171
IFI44	4.819	6.87095741483334e-171
BCAS2	2.701	8.45446141210903e-171
FMN1	-3.093	8.65385396851749e-171
IRX5	-2.811	9.59685760893071e-171
CCDC85A	-13.352	1.09653566027149e-170
PRRG4	-2.859	2.0024953811333e-169
MAP3K1	-2.838	2.36740500163533e-169
TACC1	-2.974	3.61011553504689e-168
CREG1	-2.71	3.9914526040153e-168
ABCA4	-9.08	1.86989089719386e-167
LEO1	3.188	6.99127547434881e-167
IFITM1	4.932	2.54699599424045e-166
TTC38	-3.192	3.76138197457689e-166
PGM1	7.11	8.06817308256612e-165
CSNK2B	7.562	8.53889465195392e-165
ABCC2	-4.767	1.01445841977617e-164
S100A1	-6.509	1.91172806810693e-164
PKIB	3.036	3.32737077486908e-164
IGSF8	-3.364	5.24314400841546e-164
ABCC13	-7.431	1.10040048862239e-163
EVC	-8.986	3.53462105693143e-163
GSDMD	-8.779	4.3553286166211e-163
GSDMD	-8.779	4.75190925046084e-163
HIST1H2BB	-6.889	2.5582240126391e-162
TUBA4A	-4.671	2.79276680054954e-162
TIAM1	-2.835	3.39758975698701e-162
ABCA3	-2.758	9.31132773361868e-162
LOC729970	-8.756	2.40634101873425e-161
SLITRK6	3.783	3.09799152904476e-161
RHOB	-2.549	6.56753614416588e-161
FKBP10	-3.196	6.77623229899079e-161
PLCE1	-3.531	6.81100792808554e-161
PHYHD1	-6.835	1.99444799653446e-160
PPM1K	3.31	4.53791840190969e-160
COL5A1	7.956	1.23280441225805e-159
RAB38	-13.269	6.4788406450256e-159
SOX9	-5.44	7.73239757007968e-159
FTSJ3	2.798	1.01296632653056e-158
FAM234B	-2.793	4.34150290937302e-158
IL6ST	-2.582	4.9855161507664e-158
EFHD1	-2.763	6.32344218701974e-158
PER3	-2.813	9.1017186907947e-158
UBLCP1	10.056	1.33557425328388e-157
STC2	-3.209	6.59326254886926e-157
MORC4	-2.681	7.97934545510348e-157
RSF1	-2.564	9.5192569565088e-157
TMBIM1	-6.122	1.51878116388996e-156
BHLHE40	-2.916	2.00031483220369e-156
GPAT4	-2.685	2.05776899667401e-156
LAPTM4B	-2.543	8.42981610460352e-156
MYO1B	4.149	1.20041257332515e-155
YBX2	6.131	1.23272226532612e-155
CPEB2	-3.999	1.53234973429517e-155
CPEB2	-3.999	1.68733356706605e-155
TAP1	8.625	1.99736787017714e-155
WNT7B	-4.177	2.96719243577773e-155
RAB39B	8.948	1.34475670337512e-154
LAMA3	-4.343	1.60876154520961e-154
IFITM2	8.456	2.3401051462469e-154
GCLM	-2.682	4.04863719825434e-154
ZSCAN18	-7.939	8.45243376530596e-154
IFI6	3.005	1.20653696800198e-153
CAPN2	-2.552	6.58389345613608e-153
BSCL2	-3.279	7.22030679615819e-153
TRIM26	13.179	8.62264204164852e-153
SLC29A1	-2.808	9.18438893620805e-153
C1ORF198	-2.663	3.33110985949816e-152
LINC01016	-6.401	6.39440122206197e-152
NBL1	-4.917	1.2223314657438e-151
SLC22A18	-4.201	2.84264587652221e-151
MGAT4A	-2.706	4.65754929215042e-151
MINOS1	-2.876	4.89470630671178e-151
SLC1A4	-2.804	5.69851417439826e-151
FAM198B	-4.958	6.42851627589324e-151
TFF3	-2.814	1.37122705670553e-150
ADORA1	-4.856	4.2793471962953e-150
DEPTOR	2.876	5.77432408773943e-150
SEMA3G	-5.243	1.96311848578977e-149
OXR1	-2.71	3.27625899081122e-149
HEY2	-3.517	5.13858741549119e-149
CA2	-6.028	6.52413003484668e-149
MXRA7	-3.76	7.07643294558823e-149
NDRG1	-2.905	1.37064235974232e-148
IFI27	2.59	2.7495574353095e-148
KIF26B	-7.439	2.89056782514274e-148
SYTL2	3.675	3.12869559307201e-148
ELOVL2	-3.902	4.12647070424475e-148
NENF	-2.725	9.32630605677401e-148
CAPN8	-6.158	1.4553226608322e-147
ASPH	-2.772	1.63202455924713e-147
DHX40	2.495	2.89694706160944e-147
ENO1	-2.422	4.44940432148211e-147
GARNL3	-4.195	5.14195726070777e-147
PPP4R4	-7.614	5.43295305728481e-147
LOC101927480	-2.926	6.34293629539546e-147
IL27RA	5.926	3.06172014478991e-146
GHDC	-6.022	6.47433953735536e-146
GATAD2B	-13.268	9.4326629687675e-146
PARP9	3.392	9.72865875682206e-146
PTK7	5.08	1.52917789348281e-145
CCDC88C	3.593	1.6468805353282e-145
PHLDA3	8.278	1.66012779738737e-145
CYP4V2	-2.737	4.56812104243039e-145
INTS2	2.826	6.0030382782785e-145
NFIB	-2.532	1.02655996183631e-144
RPL28	2.731	1.04488485873929e-144
PDGFC	-5.069	1.54834816836709e-144
ST6GALNAC2	-3.814	2.73171374357803e-144
CDV3	2.45	3.0474470442676e-144
IRF6	-2.752	3.24314165591628e-144
TINAGL1	-6.976	1.09842769541077e-143
LINC00273	-7.959	1.40789833574788e-143
SLC2A8	-3.412	2.22719940983647e-143
RNF169	-2.444	2.7388346750997e-143
RPS7	2.399	3.33126498831428e-142
ECI2	-2.749	6.19933406002174e-142
SLC30A7	-2.607	7.3015000024657e-142
DDR1	3.839	1.10032289774726e-141
DDR1	3.839	1.11877876471272e-141
ALG8	-2.758	1.96667965588927e-141
CPE	8.298	4.89527895274142e-141
UBXN10	-9.923	1.42584871802397e-140
SATB1	-6.485	2.58152962657638e-140
STUM	-10.111	4.43437835588977e-140
HIST3H2BB	8.986	9.38751480486131e-140
PLCD3	3.569	1.90080470642659e-139
DUSP2	-3.448	1.97818605542273e-139
FRAS1	13.1	2.51302202333253e-139
DBT	-2.725	5.71461785048846e-139
GAS6	-3.24	7.90281185332339e-139
PDLIM3	-2.421	8.9792191986287e-139
ARRB1	-2.533	1.18820286152598e-137
GINS4	-3.779	2.13163645314728e-137
PFKFB3	-2.615	2.76069929051512e-137
NCOA1	-2.973	1.5242872088789e-136
AKTIP	-2.532	1.80737431461254e-136
TRIM28	2.357	2.4205503098441e-136
CBWD5	2.867	3.41856352111202e-136
LOC441666	7.563	8.1873086389695e-136
SLC35A3	-2.534	9.54430921173361e-136
HHIPL2	-6.298	1.38225784398853e-135
GADD45A	-3.294	2.25433998357125e-135
HIST3H2A	13.265	4.72316599154282e-135
GJA1	-3.786	6.53906139597166e-135
PPM1J	-5.445	7.29874160039927e-135
SCARNA12	-2.83	8.86005558771545e-135
AAMDC	-3.398	9.57227325933829e-135
SNORA23	-5.797	3.46685313660947e-134
RBL2	-2.504	4.21377553648981e-134
HMCN1	8.396	6.59985011280029e-134
AKR1C3	-3.842	8.15703574247521e-134
SLC39A6	2.572	9.6726707276292e-134
LGR4	-3.067	1.11542393505853e-133
SHISA4	-5.946	1.18389370416305e-133
TMEM98	-7.719	1.76686397116323e-133
RPP21	12.969	1.80892645965548e-133
DTL	-2.794	2.09405886218476e-133
TP73-AS1	-9.833	3.23332464674995e-133
TCEAL4	2.84	6.20583620748243e-133
A4GALT	10.631	1.23482635152505e-132
ATP11C	2.815	1.56102710487168e-132
ELF5	7.223	1.82342766257206e-132
LINC00662	8.614	2.17849628652973e-132
MSN	-6.01	9.456463378474e-132
OSGIN1	-3.274	4.44265649461078e-131
TOB1	2.882	4.58264422723698e-131
SPRED1	-4.082	5.31268401754998e-131
TXNL4B	3.327	1.0996111815068e-130
NKAIN1	-4.759	1.21537254471654e-130
CSNK2A2	2.492	2.20731917656576e-130
LOC107985092	-7.869	2.77091343521023e-130
RAPGEF5	-3.699	3.33024393714859e-130
PHRF1	-12.904	9.11827033333565e-130
IFIT5	3.171	9.39456893711552e-130
HERC6	3.602	2.74798586294607e-129
NPEPL1	3.062	9.73154479456087e-129
AKT3	-6.415	1.12568831006956e-128
THOC7	2.371	1.3846502922874e-128
ZNF532	-3.926	1.75933496432623e-128
PDZK1	-2.544	1.96192583762297e-128
NAT1	-4.309	1.96887119182918e-128
TWIST1	-9.773	2.79602215851993e-128
TSPAN1	-5.268	4.40763657982926e-128
ADAM17	2.709	8.5952894368892e-128
FKBP4	-2.353	1.09770705859581e-127
STAT1	2.501	1.54203138665043e-127
AKR7A2	-2.468	1.71213813374405e-127
PNPLA3	-5.478	2.13166368438274e-127
GGT6	-3.117	5.83955303235613e-127
STOM	2.486	1.01849976514352e-126
AP4B1-AS1	7.038	1.62877570743923e-126
TOP1MT	2.727	1.78231435877683e-126
THBS1	-2.273	3.03156906647425e-126
HIGD2A	2.507	2.45054384699589e-125
LCP1	-2.748	6.12090196243436e-125
PPP4R4	-7.148	9.42605187770229e-125
CHD3	2.47	1.04590375939912e-124
ODC1	2.598	1.14081713022048e-124
EGR1	-5.473	1.3174211121553e-124
GRHL1	3.431	1.67192697492596e-124
CARHSP1	-2.445	1.68631629712908e-124
SPATS2L	2.472	3.0614187215035e-124
BEND7	9.809	5.38955445425024e-124
TMPRSS3	-2.737	1.11772038959723e-123
MGST3	-2.562	5.57225521824595e-123
TMEM214	-2.356	6.67377797959383e-123
MUCL1	5.677	1.3506877458814e-122
CAMK2N1	-4.703	2.02629881442775e-122
STK39	-2.408	2.10992870696965e-122
PADI2	-3.444	2.24434835953979e-122
PPP4R3A	2.367	2.51696805579963e-122
CHKA	-2.899	4.51609151079242e-122
ATXN1L	2.349	8.7810817652995e-122
ARHGEF37	-2.789	1.51522937523411e-121
CXXC5	-2.604	2.69055182446513e-121
UNC13D	-4.294	2.97507073312949e-121
TRPA1	-8.897	3.65072075366611e-121
ANKS6	12.862	4.86210199375751e-121
NMD3	2.268	1.7736592646721e-120
ZNF626	-6.048	3.30134129679865e-120
CTDSPL	-2.313	3.40956306248729e-120
SNHG8	2.457	7.85183906712056e-120
ACP1	2.323	2.06211716370077e-119
PARP10	2.334	4.88095533875268e-119
NAF1	-3.357	8.64881997719992e-119
ERO1B	-3.277	1.01317452484783e-118
ENDOD1	-2.608	1.65789519575914e-118
SAMD4A	6.485	8.54372144227932e-118
STK32B	-12.778	1.10030214961611e-117
MIR4712	3.291	1.12548256357189e-117
SLC44A3-AS1	-6.467	1.40652997758271e-117
NME4	-2.389	2.72842486877864e-117
UGDH	2.457	6.59236964608245e-117
EEF1D	2.239	8.37378969683183e-117
ZNF717	-6.904	9.0266910322133e-117
C7ORF13	8.485	9.42823318392127e-117
DHRS3	-5.317	1.00559912318458e-116
PLXDC2	5.899	5.59177951641544e-116
TMEM40	-6.277	1.01010644035286e-115
TMEM25	-5.204	1.48778021970311e-115
RHPN2	3.61	9.29428858918795e-115
SMIM22	-3.582	1.93768952912993e-114
SFXN2	-3.007	2.54492635323233e-114
SDC4	2.204	2.59103447162655e-114
ITPR1	-4.563	5.65951562632976e-114
MAPK6	2.256	7.39695522432815e-114
NHP2	2.513	9.0657821953613e-114
C6ORF47	-12.729	1.04813744842062e-113
ZNRF2	-2.339	1.5460901272288e-113
EEF1D	2.442	1.89227163905933e-113
TP53INP1	3.647	2.38856932923142e-113
ZNF426	-4.691	2.47216722206112e-113
PRKAR2B	5.173	7.29782763195747e-113
SH3TC1	-4.749	9.17551528478072e-113
TBX2-AS1	10.397	1.56613771977783e-112
RAB32	10.606	1.91145679596562e-112
LETM2	-4.615	6.25090884370416e-112
SESTD1	-3.305	8.64397130288301e-112
TFCP2	-7.802	9.26732432414444e-112
FRS2	-2.183	1.15677858353687e-111
SNHG1	3.407	2.12908741173465e-111
TESMIN	-2.322	5.72408578350854e-111
MAGED2	-2.202	9.54348323844189e-111
GOLGA7	-2.749	1.21813145749747e-110
HLA-A	13.369	1.21835774531662e-110
SMG8	2.406	2.28040255924764e-110
ZFAS1	2.247	2.29814375390532e-110
SLC52A3	-4.721	4.59643842172285e-110
NKRF	2.976	4.75864459905446e-110
TBC1D9B	2.191	6.17012251491682e-110
TOP1	2.517	1.26884062872546e-109
STAT6	-2.288	1.50685831016695e-109
SNHG3	3.361	1.50943561579582e-109
CSRP1	-2.095	2.11896346851832e-109
CSNK2B	-5.754	2.83525234413026e-109
SNORD15B	-6.017	5.12375319717328e-109
WWC2	-2.425	7.19895126817223e-109
DTX3L	2.3	9.80841796776274e-109
IFIT3	5.166	1.03430711728596e-108
ABCG2	9.031	2.29459421801098e-108
ANXA6	-2.337	3.2813927245752e-108
SLC39A10	-2.189	5.22494503432268e-108
MTSS1L	3.128	5.30723872921463e-108
BRD2	-4.245	6.63739055270253e-108
MSL3P1	12.658	9.0219638363912e-108
CAMP	-7.481	1.07352970229176e-107
STIM1	-2.93	1.37791350500713e-107
AXL	-5.343	1.51174673737424e-107
CDK14	-5.297	2.30501409269866e-107
ATN1	-3.172	5.52295554325457e-107
PHF19	4.784	9.77094638135407e-107
TMEM101	5.247	1.37765425745566e-106
PPFIA1	-2.176	3.50720291157777e-106
PSEN2	-2.689	6.38113969697e-106
CHD9	-2.488	7.57376599496522e-106
B3GALT6	-2.635	7.72175116736356e-106
CSNK2B	-7.219	7.9053825800875e-106
TSPAN12	-4.803	9.83500734837e-106
AGBL5	-2.218	9.97671770940416e-106
CXCL12	5.907	1.47966864094241e-105
NBAS	-2.169	1.99736752999165e-105
LMF2	-2.751	2.07552127079091e-105
CD151	-2.331	2.8066901516853e-105
ZMAT4	-4.29	3.11319358383596e-105
CSNK2B	-7.201	6.0646475292161e-105
RAI2	-4.406	6.54885720116526e-105
TRAF5	-2.715	1.22164088560563e-104
FH	-2.086	1.78346415635673e-104
PTBP2	-2.66	3.53129242803862e-104
RRM1	-2.148	2.00020622415281e-103
MED13	2.057	3.09595317818879e-103
FDFT1	-2.082	3.28300760991563e-103
PCSK6	4.631	5.40451706467629e-103
FADD	-2.14	5.83267337499482e-103
SYT12	-2.169	7.4391230598646e-103
NAPRT	-3.464	8.65245137891642e-103
CSNK2B	-7.186	1.01976154037648e-102
LRRC75A-AS1	2	1.85219512450845e-102
SLC25A5	1.983	4.35629100835599e-102
HELZ2	2.332	4.64822865896319e-102
RNF39	-12.555	1.02725793905497e-101
ATF3	-2.917	1.15679967958104e-101
PEX19	-2.242	2.24896561551648e-101
CCDC170	2.296	3.23153882367608e-101
ALG14	-2.79	5.51989545926689e-101
CCDC167	-3.104	7.42559200265504e-101
RUNX1	-2.865	1.01540596980826e-100
GFRA1	-1.964	1.56899744199085e-100
HIGD1A	-2.138	2.63892773176418e-100
HLA-E	-12.501	3.86639628804889e-100
CWC27	2.814	4.12356285290302e-100
HLA-E	-12.501	4.27462229789619e-100
HLA-E	-12.501	4.66136497661147e-100
PIEZO1	2.684	1.8667981328216e-99
ZG16B	-3.619	2.9024896931476e-99
ZG16B	-3.619	3.00956759917682e-99
ZIC1	10.184	4.66050486333631e-99
KLHL5	-2.439	5.30675394973885e-99
NOL11	2.277	6.8551881878305e-99
ASS1	1.937	6.90640210372116e-99
RAB6A	-2.058	8.14111117470937e-99
RPL36AL	2.361	8.14111117470937e-99
PRR15	-2.799	1.11935492767584e-98
AFF3	-2.51	3.39668842169731e-98
CA8	-2.65	4.08837634009345e-98
APBB2	-2.396	4.38906412433431e-98
CD9	-2.037	4.80859469053083e-98
ARID5B	-2.219	7.21543252366409e-98
NFU1	-2.745	8.34280277501617e-98
HDAC11	-2.548	1.45168291847127e-97
HMGB1	1.991	1.70973192021999e-97
EPS8	-2.272	2.32876250644255e-97
SKA2	2.107	3.22866347713526e-97
NOSTRIN	-6.004	4.07251530229668e-97
SLC48A1	-2.322	4.39893540117413e-97
TUB	-8.847	6.23637080695264e-97
FOXJ2	-2.768	6.44392290703657e-97
N4BP3	2.809	1.22525532240338e-96
CROT	3.142	2.41868312786891e-96
FAM114A1	-2.474	4.15410579903994e-96
LRFN4	-2.751	6.35031178769908e-96
HMGCR	2.084	6.46470730249839e-96
FAM126A	-4.296	1.14796309736841e-95
B4GALT1	-2.275	1.60559171854333e-95
LDLRAD3	-2.466	2.00722101333138e-95
RWDD3	-3.016	3.77348194675337e-95
C12ORF57	-2.173	8.64914802495945e-95
VARS2	12.43	1.21830457628965e-94
NUP210L	4.885	1.51580920396248e-94
RNFT1	2.923	1.67448272328288e-94
SNORD97	-4.543	2.4124619104479e-94
SNRPD1	2.237	2.58398158360367e-94
